대회명,대회일시,대회장소,종목,주최
2024 머니투데이방송 3.1절 기념 마라톤대회,2024-03-01,뚝섬한강공원 수변마당,"5km, 10km, Half, Full",머니투데이방송
2024 서울마라톤대회,2024-03-17,광화문광장,"10km, Full",동아일보
제18회 반기문마라톤대회,2024-04-28,음성종합운동장,"5km, 10km, Half, Full",음성군청
2024 서울하프마라톤대회,2024-04-28,광화문광장,"10km, Half",조선일보
제24회 여성마라톤대회,2024-05-04,서울 마포구 월드컵공원 평화광장 일대,"10km, Half",여성신문사
제18회 그린리본 희망 페스티벌,2024-09-28,상암 평화의공원 평화광장,"5km, 10km",이데일리
제21회 국제평화마라톤대회,2024-10-03,삼성1동주민센터 앞 봉은사로,"5km, 10km, Half, Full",강남구청
2024 국제국민마라톤대회,2024-10-03,여의도 문화의광장 일원,"3.6km, 10km, Half",국민일보
2024 DMZ 평화 마라톤 대회,2024-10-06,경기도 파주시 임진각 DMZ 일원,"10km, Half",경기도청
2024 자유민주마라톤대회,2024-11-10,서울시청 광장,"6.10km, 10km",민주화운동기념사업회
2024 손기정평화마라톤대회,2024-11-17,상암월드컵공원 평화광장,"5km, 10km, Half, Full",손기정기념재단
2025 머니투데이방송 3.1절 기념 마라톤대회,2025-03-01,뚝섬한강공원 수변마당,"5km, 10km, Half, Full",머니투데이방송
제19회 반기문마라톤대회,2025-04-27,음성종합운동장,"5km, 10km, Half, Full",음성군청
제25회 여성마라톤대회,2025-05-03,서울 마포구 월드컵공원 평화광장 일대,"10km, 5km, 3km",여성신문사
제22회 강남 국제평화마라톤대회,2025-10-03,삼성1동주민센터 앞 봉은사로,"5km, 10km, Half, Full",강남구청
2025 DMZ 평화 마라톤 대회,2025-11-02,경기도 파주시 임진각 DMZ 일원,"10km, Half",경기도청
2025 자유민주마라톤대회,2025-11-09,서울시청 광장,"6.10km, 10km",민주화운동기념사업회
2025 손기정평화마라톤대회,2025-11-16,고양종합운동장,"10km, Half, Full",손기정기념재단
